cycle_life,DeltaQ_logVar,DeltaQ_logMin,DeltaQ_logMean,DeltaQ_logSkew,DeltaQ_logKurt,DeltaQ_2V,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,QD_2,QD_Max-2,QD_100,init_avg_charge_time,T_max,T_min,T_integral,IR_2,min_IR,IR_100-2
1002,-4.046822397,-1.546539013,-1.546539013,-1.276362836,0.103452596,-5.90E-05,-1.60E-05,1.05897035,-5.29E-05,1.062242032,1.0562643,0.0028446,1.0569046,10.04338433,37.97354076,31.405123,3391.883574,0.015852775,0.015614755,-0.000122983
825,-4.155254995,-1.60603194,-1.60603194,-0.473985523,0.101008493,-9.03E-05,9.65E-06,1.049949028,-5.47E-05,1.055517054,1.0462732,0.0048557,1.050084,10.04224033,37.871063,31.71232416,3399.268959,0.015751192,0.01550305,-0.000150559
989,-4.146560745,-1.575506312,-1.575506312,-0.436102642,0.030735094,-0.000196076,6.95E-06,1.064468012,-5.59E-05,1.06989657,1.0611302,0.0043403,1.0643663,10.04159833,39.5951108,31.926973,3486.93301,0.015752004,0.015591009,-4.92E-05
1028,-4.219507414,-1.616559163,-1.616559163,-0.465776501,0.025503714,-1.03E-05,-4.29E-07,1.075134168,-4.37E-05,1.078754517,1.0720186,0.0037909,1.074435,10.04181667,39.786995,31.812666,3503.298498,0.015693368,0.015538619,-4.24E-05
850,-4.130132311,-1.575113615,-1.575113615,-0.442306919,0.046943114,0.000101271,-4.04E-06,1.063914867,-4.65E-05,1.067372125,1.0604171,0.0040355,1.0627574,10.04502233,38.98098,31.88298,3460.15444,0.015073455,0.014868693,-9.95E-05
541,-3.451657893,-1.237838393,-1.237838393,-0.523396751,-0.008640401,-3.79E-06,-0.000198022,1.054621147,-0.000267253,1.060669153,1.0518668,0.0008317,1.0340093,10.05914167,39.85648636,31.972694,3498.229377,0.013169404,0.013169404,0.000435923
858,-4.0635761,-1.538779559,-1.538779559,-0.457860949,0.071792871,0.000197304,4.08E-06,1.070292311,-5.96E-05,1.075542098,1.0663688,0.004832,1.0696349,10.04168767,31.999889,30.393116,3063.622146,0.014962286,0.014745088,-0.000165511
935,-4.100225547,-1.572884567,-1.572884567,-0.411939153,0.055725818,-1.47E-06,-3.42E-06,1.071880175,-3.10E-05,1.074063598,1.0687393,0.0036005,1.0710108,10.04367867,34.756858,30.474829,3159.994465,0.015732529,0.015509814,-0.000114126
731,-3.839603025,-1.448313282,-1.448313282,-0.917743225,0.111140247,8.18E-05,-9.00E-06,1.071258666,-3.54E-05,1.073281415,1.0681812,0.0034605,1.0698149,10.04647767,37.242977,30.81633655,3332.005752,0.015983483,0.015812302,-2.98E-05
1284,-4.395898333,-1.701454189,-1.701454189,-0.376714345,0.003858915,-3.08E-05,-1.26E-05,1.062801338,-5.69E-05,1.066627388,1.060272,0.0026444,1.0609198,10.04330133,34.695709,31.415869,3244.584883,0.015511206,0.015279103,-0.000153993
1158,-4.305659505,-1.667361755,-1.667361755,-0.734992783,0.06288837,-2.23E-05,-2.12E-05,1.06432507,-7.77E-05,1.069308148,1.061535,0.0027431,1.0615493,10.04418467,39.49040963,31.956257,3506.369217,0.015438841,0.015220164,-0.000106908
1093,-4.23485829,-1.637742362,-1.637742362,-0.528215339,0.061761013,-5.36E-05,-1.95E-05,1.065495417,-4.98E-05,1.068198545,1.0633804,0.0020494,1.0632331,10.04314867,39.086731,31.761244,3482.287988,0.01549053,0.015308049,-7.60E-05
923,-4.253457921,-1.638615704,-1.638615704,-0.600116743,0.040137917,5.70E-05,-2.20E-05,1.060483815,-5.94E-05,1.063666739,1.0575287,0.0030761,1.0577667,10.043801,39.893036,31.939495,3516.137921,0.015267849,0.015083324,-8.83E-05
1935,-4.342053044,-1.69578949,-1.69578949,-1.266283531,0.070734681,0.00011137,-8.79E-06,1.072430919,-6.19E-05,1.077245644,1.0701473,0.0025093,1.0710695,10.044471,38.268311,30.966864,3405.124078,0.015988033,0.015742945,-0.000115897
1156,-4.454635077,-1.758007558,-1.758007558,-0.533816817,0.001306764,-9.44E-05,-6.58E-06,1.050918796,-2.41E-05,1.052010814,1.0474036,0.004107,1.0495038,10.043833,36.491322,30.9973162,3320.932109,0.015740704,0.015480768,-0.000155274
796,-4.295108275,-1.656516677,-1.656516677,-0.501095774,0.056337958,3.54E-06,-7.69E-06,1.063391687,-4.83E-05,1.066635646,1.0593235,0.00451,1.0617574,10.043563,38.358112,30.658075,3337.319313,0.015561919,0.015254971,-0.000234305
786,-4.219509371,-1.616310388,-1.616310388,-0.447169341,0.026586428,-6.27E-06,9.73E-06,1.053877799,-5.06E-05,1.059149495,1.0505219,0.0043619,1.0541531,10.04297433,37.245838,30.47063702,3296.765921,0.01854171,0.017006677,-0.000173132
940,-4.131495522,-1.585275075,-1.585275075,-0.61151449,0.092859503,-9.95E-05,4.69E-06,1.073078213,-1.79E-05,1.074668847,1.06972,0.0041849,1.0729284,10.04343567,36.881859,30.183569,3268.494388,0.015722955,0.01551657,-0.000105745
1801,-4.520850801,-1.783096536,-1.783096536,-0.483936795,0.070823912,-5.29E-05,-1.26E-07,1.071472276,-7.19E-06,1.071735902,1.0695485,0.0025962,1.0711251,11.03765,35.085537,30.620083,3207.200229,0.015742011,0.015557319,-7.95E-05
